pi sfs
1 0.000953928080808081 4993
2 0.000456113737373737 2386
3 0.000512227070707071 2662
4 0.000734790303030303 3853
5 0.00100797555555556 5136
6 0.000877960404040404 4591
7 0.000529447878787879 2813
8 0.000281429494949495 1462
9 0.000230253737373737 1234
10 0.000847537777777778 4474
11 0.00012273898989899 582
12 0.000435810505050505 2330
13 0.000967292727272727 4927
14 0.000541808484848485 2789
15 0.00066464101010101 3437
16 0.000632805858585859 3262
17 0.000928700404040404 4722
18 0.000161681616161616 824
19 0.000708764646464646 3618
20 0.000723846464646465 3733
